Year,Month,Variable,101,102
1965,9,maxtemp,23.432457,23.432457
1965,10,maxtemp,22.91164,22.91164
1965,11,maxtemp,11.9457152,11.9457152
1965,12,maxtemp,7.6177619,7.6177619
1966,1,maxtemp,-3.246889,-3.246889
1966,2,maxtemp,4.651898,4.651898
1966,3,maxtemp,13.8081596,13.8081596
1966,4,maxtemp,16.8997293,16.8997293
1966,5,maxtemp,25.94403,25.94403
1966,6,maxtemp,33.974916,33.974916
1966,7,maxtemp,37.649347,37.649347
1966,8,maxtemp,33.154474,33.154474
1966,9,maxtemp,29.512125,29.512125
1966,10,maxtemp,22.189493,22.189493
1966,11,maxtemp,10.530483,10.530483
1966,12,maxtemp,4.1056604,4.1056604
1967,1,maxtemp,3.079768,3.079768
1967,2,maxtemp,1.898012,1.898012
1967,3,maxtemp,12.4587092,12.4587092
1967,4,maxtemp,19.481659,19.481659
1967,5,maxtemp,25.246351,25.246351
1967,6,maxtemp,32.179039,32.179039
1967,7,maxtemp,34.93726,34.93726
1967,8,maxtemp,33.766949,33.766949
1967,9,maxtemp,30.920551,30.920551
1967,10,maxtemp,20.982185,20.982185
1967,11,maxtemp,10.7737181,10.7737181
1967,12,maxtemp,5.5131097,5.5131097
1968,1,maxtemp,2.709132,2.709132
1968,2,maxtemp,4.4323764,4.4323764
1968,3,maxtemp,16.7367425,16.7367425
1968,4,maxtemp,21.53467,21.53467
1968,5,maxtemp,25.869297,25.869297
1968,6,maxtemp,31.977367,31.977367
1968,7,maxtemp,34.455276,34.455276
1968,8,maxtemp,33.41541,33.41541
1968,9,maxtemp,29.116287,29.116287
1968,10,maxtemp,23.059694,23.059694
1968,11,maxtemp,12.0110261,12.0110261
1968,12,maxtemp,2.756159,2.756159
1969,1,maxtemp,0.355431,0.355431
1969,2,maxtemp,6.218435,6.218435
1969,3,maxtemp,11.0314816,11.0314816
1969,4,maxtemp,22.316601,22.316601
1969,5,maxtemp,28.38001,28.38001
1969,6,maxtemp,28.946663,28.946663
1969,7,maxtemp,35.07992,35.07992
1969,8,maxtemp,37.112886,37.112886
1969,9,maxtemp,29.091976,29.091976
1969,10,maxtemp,18.731771,18.731771
1969,11,maxtemp,12.5152276,12.5152276
1969,12,maxtemp,5.8457794,5.8457794
1970,1,maxtemp,-0.757491,-0.757491
1970,2,maxtemp,4.953253,4.953253
1970,3,maxtemp,10.56710064,10.56710064
1970,4,maxtemp,19.07714,19.07714
1970,5,maxtemp,25.370262,25.370262
1970,6,maxtemp,34.509348,34.509348
1970,7,maxtemp,37.859219,37.859219
1970,8,maxtemp,36.135517,36.135517
1970,9,maxtemp,29.265074,29.265074
1970,10,maxtemp,21.977887,21.977887
1970,11,maxtemp,10.9096633,10.9096633
1970,12,maxtemp,3.2115526,3.2115526
1971,1,maxtemp,-2.615344,-2.615344
1971,2,maxtemp,5.6215053,5.6215053
1971,3,maxtemp,10.6163297,10.6163297
1971,4,maxtemp,21.125041,21.125041
1971,5,maxtemp,27.552696,27.552696
1971,6,maxtemp,35.005129,35.005129
1971,7,maxtemp,33.543068,33.543068
1971,8,maxtemp,34.378084,34.378084
1971,9,maxtemp,29.948624,29.948624
1971,10,maxtemp,23.650161,23.650161
1971,11,maxtemp,11.2206911,11.2206911
1971,12,maxtemp,4.3474507,4.3474507
1972,1,maxtemp,-1.703062,-1.703062
1972,2,maxtemp,1.965524,1.965524
1972,3,maxtemp,9.5065267,9.5065267
1972,4,maxtemp,18.068621,18.068621
1972,5,maxtemp,31.244202,31.244202
1972,6,maxtemp,34.071604,34.071604
1972,7,maxtemp,33.585234,33.585234
1972,8,maxtemp,34.264639,34.264639
1972,9,maxtemp,27.228678,27.228678
1972,10,maxtemp,19.711868,19.711868
1972,11,maxtemp,9.91629049,9.91629049
