Table,Parameter,Abbreviation,Units,Foliage Nature,Species,Value,Source
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Deciduous broad leaf forest,Acer saccharum,1.55,Nadelhoffer et al. 1985
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Deciduous broad leaf forest,Betula,1.26,Nadelhoffer et al. 1985
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus,1.43,van Praag et al. 1988
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus,0.673,Joslin and Henderson 1987
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus,0.545,Ellenberg et al. 1986
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Deciduous broad leaf forest,Nyssa-Acer,1.44,Symbula and Day 1988
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Salt marsh,1,Bliss 1977
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Wet meadow,0.338,Bliss 1977
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Herb meadow,1.31,"Tieszen et al. 1981, see Lewis personal communication"
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Grass–herb meadow,1.01,Østbye and et al. 1975
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Dry grassland,2.19,Lewis Smith and Walton 1975
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Grass turf,0.5,Collins et al. 1975
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Grassland,2,Jenkin 1975
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Wet grassland,0.199,Lewis Smith and Walton 1975
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Dry meadow,1.02,Wielgolaski 1975
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Wet meadow,1.63,Wielgolaski 1975
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Grass savanna,1.59,Menaut and Cesar 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Grass savanna,1.43,Menaut and Cesar 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Grass savanna,1.32,Menaut and Cesar 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Temperate grassland,1.07,Sims and Coupland 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Temperate grassland,0.643,Sims and Coupland 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Temperate grassland,0.405,Sims and Coupland 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Temperate grassland,0.96,Sims and Coupland 1979
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Grass,Mixed grass,0.281,Kumar and Joshi 1972
